date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:57	26148/26148	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:42%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/testimonials1.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/testimonials1.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:59	26287/26287	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:34%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner1.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner1.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:00	8333/8333	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:36%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner4.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner4.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:03	34067/34067	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:36%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner3.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner3.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:03	15297/15297	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:37%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner6.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner6.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:07	55324/55324	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:37%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner5.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner5.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:09	33421/33421	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:38%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner7.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner7.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:09	87834/87834	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:35%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner2.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner2.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:14	69034/69034	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:39%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner9.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner9.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:15	48921/48921	---M--	200	added ('OK')	image/png	date:Sun,%2016%20May%202021%2011:57:38%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/partner8.png	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/partner8.png	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:15	32508/32508	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:39%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/team001.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/team001.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:18	24674/24674	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:41%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/team002.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/team002.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:38:20	26054/26054	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:41%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/team003.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/team003.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
